timestamp,laptop_time,pi_time,drift_ms,drift_seconds,cumulative_drift_seconds,drift_rate_seconds_per_hour,check_number
2025-09-25T16:17:23.260Z,2025-09-25T16:17:23.260Z,2025-09-25T16:17:24.197Z,937,0.937,0.937,5.6220,1
2025-09-25T16:27:25.003Z,2025-09-25T16:27:25.003Z,2025-09-25T16:27:25.418Z,415,0.415,0.415,1.2450,2
2025-09-25T16:37:26.214Z,2025-09-25T16:37:26.214Z,2025-09-25T16:37:26.734Z,520,0.520,0.520,1.0400,3
2025-09-25T16:47:27.519Z,2025-09-25T16:47:27.519Z,2025-09-25T16:47:27.875Z,356,0.356,0.356,0.5340,4
2025-09-25T16:57:28.651Z,2025-09-25T16:57:28.651Z,2025-09-25T16:57:29.083Z,432,0.432,0.432,0.5184,5
2025-09-25T18:28:43.345Z,2025-09-25T18:28:43.345Z,2025-09-25T18:28:42.815Z,-530,-0.530,-0.530,-0.5300,6
2025-09-25T18:38:44.517Z,2025-09-25T18:38:44.517Z,2025-09-25T18:38:44.057Z,-460,-0.460,-0.460,-0.3943,7
2025-09-25T18:48:45.744Z,2025-09-25T18:48:45.744Z,2025-09-25T18:48:45.329Z,-415,-0.415,-0.415,-0.3113,8
2025-09-25T18:58:47.006Z,2025-09-25T18:58:47.006Z,2025-09-25T18:58:46.620Z,-386,-0.386,-0.386,-0.2573,9
2025-09-25T19:08:48.286Z,2025-09-25T19:08:48.286Z,2025-09-25T19:08:47.815Z,-471,-0.471,-0.471,-0.2826,10
2025-09-25T19:18:49.469Z,2025-09-25T19:18:49.469Z,2025-09-25T19:18:49.009Z,-460,-0.460,-0.460,-0.2509,11
2025-09-25T19:28:50.652Z,2025-09-25T19:28:50.652Z,2025-09-25T19:28:50.242Z,-410,-0.410,-0.410,-0.2050,12
2025-09-25T19:38:51.875Z,2025-09-25T19:38:51.875Z,2025-09-25T19:38:51.477Z,-398,-0.398,-0.398,-0.1837,13
2025-09-25T19:48:53.099Z,2025-09-25T19:48:53.099Z,2025-09-25T19:48:52.669Z,-430,-0.430,-0.430,-0.1843,14
2025-09-25T19:58:54.282Z,2025-09-25T19:58:54.282Z,2025-09-25T19:58:53.853Z,-429,-0.429,-0.429,-0.1716,15
2025-09-25T20:08:55.457Z,2025-09-25T20:08:55.457Z,2025-09-25T20:08:55.144Z,-313,-0.313,-0.313,-0.1174,16
2025-09-25T20:18:56.738Z,2025-09-25T20:18:56.738Z,2025-09-25T20:18:56.333Z,-405,-0.405,-0.405,-0.1429,17
2025-09-25T20:28:57.917Z,2025-09-25T20:28:57.917Z,2025-09-25T20:28:57.518Z,-399,-0.399,-0.399,-0.1330,18
2025-09-25T20:38:59.093Z,2025-09-25T20:38:59.093Z,2025-09-25T20:38:58.708Z,-385,-0.385,-0.385,-0.1216,19
2025-09-25T20:49:00.274Z,2025-09-25T20:49:00.274Z,2025-09-25T20:48:59.896Z,-378,-0.378,-0.378,-0.1134,20
2025-09-25T20:59:01.453Z,2025-09-25T20:59:01.453Z,2025-09-25T20:59:01.139Z,-314,-0.314,-0.314,-0.0897,21
2025-09-25T21:09:02.687Z,2025-09-25T21:09:02.687Z,2025-09-25T21:09:02.272Z,-415,-0.415,-0.415,-0.1132,22
2025-09-25T21:19:03.811Z,2025-09-25T21:19:03.811Z,2025-09-25T21:19:03.456Z,-355,-0.355,-0.355,-0.0926,23
2025-09-25T21:29:04.986Z,2025-09-25T21:29:04.986Z,2025-09-25T21:29:04.604Z,-382,-0.382,-0.382,-0.0955,24
2025-09-25T21:39:06.124Z,2025-09-25T21:39:06.124Z,2025-09-25T21:39:05.942Z,-182,-0.182,-0.182,-0.0437,25
2025-09-25T21:49:07.452Z,2025-09-25T21:49:07.452Z,2025-09-25T21:49:07.085Z,-367,-0.367,-0.367,-0.0847,26
2025-09-25T21:59:08.586Z,2025-09-25T21:59:08.586Z,2025-09-25T21:59:08.314Z,-272,-0.272,-0.272,-0.0604,27
2025-09-25T22:09:09.811Z,2025-09-25T22:09:09.811Z,2025-09-25T22:09:09.605Z,-206,-0.206,-0.206,-0.0441,28
2025-09-25T22:19:11.090Z,2025-09-25T22:19:11.090Z,2025-09-25T22:19:10.789Z,-301,-0.301,-0.301,-0.0623,29
2025-09-25T22:29:12.265Z,2025-09-25T22:29:12.265Z,2025-09-25T22:29:12.083Z,-182,-0.182,-0.182,-0.0364,30
2025-09-25T22:39:13.549Z,2025-09-25T22:39:13.549Z,2025-09-25T22:39:13.236Z,-313,-0.313,-0.313,-0.0606,31
2025-09-25T22:49:14.692Z,2025-09-25T22:49:14.692Z,2025-09-25T22:49:14.459Z,-233,-0.233,-0.233,-0.0437,32
2025-09-25T22:59:15.906Z,2025-09-25T22:59:15.906Z,2025-09-25T22:59:15.612Z,-294,-0.294,-0.294,-0.0535,33
2025-09-26T00:51:37.340Z,2025-09-26T00:51:37.340Z,2025-09-26T00:51:37.118Z,-222,-0.222,-0.222,-0.0392,34
2025-09-26T02:54:47.424Z,2025-09-26T02:54:47.424Z,2025-09-26T02:54:47.407Z,-17,-0.017,-0.017,-0.0029,35
2025-09-26T04:55:26.511Z,2025-09-26T04:55:26.511Z,2025-09-26T04:55:26.299Z,-212,-0.212,-0.212,-0.0353,36
2025-09-26T06:51:18.820Z,2025-09-26T06:51:18.820Z,2025-09-26T06:51:18.807Z,-13,-0.013,-0.013,-0.0021,37
2025-09-26T08:52:48.296Z,2025-09-26T08:52:48.296Z,2025-09-26T08:52:47.771Z,-525,-0.525,-0.525,-0.0829,38
